Публиковать,SKU,Название,Модель,Категория,category_slug,Состояние,Цвет,HEX,"Цена, ₸",Статус,Сторона,Расположение,Производитель,Без покраски,Описание,Фото (URL через запятую),На главную,"Остаток, шт"
Да,LX-L7-LRLIGHT,Левый задний фонарь,Li Auto L7,Левый задний фонарь,left-rear-light,Хорошее,,,,В наличии,Лево,Задняя левая,,Нет,,,Нет,
Да,LX-L7-RRLIGHT,Правый задний фонарь,Li Auto L7,Правый задний фонарь,right-rear-light,Хорошее,,,,В наличии,Право,Задняя правая,,Нет,,,Нет,
Да,LX-L7-HOOD,Капот,Li Auto L7,Капот,hood,Хорошее,,,,В наличии,Перед,Передняя часть,,Да,,,Да,
Да,LX-L7-LMIRH,Левое зеркало High Config,Li Auto L7,Левое зеркало High Config,left-mirror-high,Хорошее,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L7-RMIRH,Правое зеркало High Config,Li Auto L7,Правое зеркало High Config,right-mirror-high,Хорошее,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L7-LMIRL,Левое зеркало Low Config,Li Auto L7,Левое зеркало Low Config,left-mirror-low,Хорошее,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L7-RMIRL,Правое зеркало Low Config,Li Auto L7,Правое зеркало Low Config,right-mirror-low,Хорошее,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L7-LLINER,Левый подкрылок,Li Auto L7,Левый подкрылок,left-fender-liner,Хорошее,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L7-RLINER,Правый подкрылок,Li Auto L7,Правый подкрылок,right-fender-liner,Хорошее,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L7-LFEND,Левое крыло,Li Auto L7,Левое крыло,left-fender,Хорошее,,,,В наличии,Лево,Передняя левая,,Да,,,Нет,
Да,LX-L7-RFEND,Правое крыло,Li Auto L7,Правое крыло,right-fender,Хорошее,,,,В наличии,Право,Передняя правая,,Да,,,Нет,
Да,LX-L7-LRBLIGHT,Левая подсветка бампера,Li Auto L7,Левая подсветка бампера,left-rear-bumper-light,Хорошее,,,,В наличии,Лево,Задняя левая,,Нет,,,Нет,
Да,LX-L7-RRBLIGHT,Правая подсветка бампера,Li Auto L7,Правая подсветка бампера,right-rear-bumper-light,Хорошее,,,,В наличии,Право,Задняя правая,,Нет,,,Нет,
Да,LX-L7-FTRIM,Передняя нижняя накладка,Li Auto L7,Передняя нижняя накладка,front-lower-trim,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L7-RTRIM,Задняя нижняя накладка,Li Auto L7,Задняя нижняя накладка,rear-lower-trim,Хорошее,,,,В наличии,Зад,Задняя часть,,Нет,,,Нет,
Да,LX-L7-HANDLE,Ручки дверей,Li Auto L7,Ручки дверей,door-handles,Хорошее,,,,В наличии,—,Кузов,,Нет,,,Нет,
Да,LX-L7-FBUMP,Передний бампер,Li Auto L7,Передний бампер,front-bumper,Хорошее,,,,В наличии,Перед,Передняя часть,,Да,,,Да,
Да,LX-L7-LHEAD,Левая передняя фара,Li Auto L7,Левая передняя фара,left-headlight,Хорошее,,,,В наличии,Лево,Передняя левая,,Нет,,,Да,
Да,LX-L7-RHEAD,Правая передняя фара,Li Auto L7,Правая передняя фара,right-headlight,Хорошее,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L7-RAD,Радиатор охлаждения,Li Auto L7,Радиатор охлаждения,radiator,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L7-ACRAD,Радиатор кондиционера,Li Auto L7,Радиатор кондиционера,ac-radiator,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L7-FRAME,Рамка передней части (телевизор),Li Auto L7,Рамка передней части,front-frame,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L7-FAN,Вентилятор охлаждения,Li Auto L7,Вентилятор охлаждения,fan,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L7-REINF,Усилитель переднего бампера,Li Auto L7,Усилитель бампера,bumper-reinforcement,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L7-BRACK,Кронштейны и крепления,Li Auto L7,Кронштейны и крепления,brackets,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L7-SHROUD,Диффузор вентилятора,Li Auto L7,Диффузор вентилятора,fan-shroud,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L9-RBUMP,Задний бампер в сборе,Li Auto L9,Задний бампер,rear-bumper,Хорошее,,,,В наличии,Зад,Задняя часть,,Да,,,Да,
Да,LX-L9-LFDOOR,Передняя левая дверь,Li Auto L9,Передняя левая дверь,left-front-door,Хорошее,,,,В наличии,Лево,Передняя левая,,Да,,,Нет,
Да,LX-L9-RFDOOR,Передняя правая дверь,Li Auto L9,Передняя правая дверь,right-front-door,Хорошее,,,,В наличии,Право,Передняя правая,,Да,,,Нет,
Да,LX-L9-LRDOOR,Задняя левая дверь,Li Auto L9,Задняя левая дверь,left-rear-door,Хорошее,,,,В наличии,Лево,Задняя левая,,Да,,,Нет,
Да,LX-L9-RRDOOR,Задняя правая дверь,Li Auto L9,Задняя правая дверь,right-rear-door,Хорошее,,,,В наличии,Право,Задняя правая,,Да,,,Нет,
Да,LX-L9-LRLIGHT,Левый задний фонарь,Li Auto L9,Левый задний фонарь,left-rear-light,Хорошее,,,,В наличии,Лево,Задняя левая,,Нет,,,Нет,
Да,LX-L9-RRLIGHT,Правый задний фонарь,Li Auto L9,Правый задний фонарь,right-rear-light,Хорошее,,,,В наличии,Право,Задняя правая,,Нет,,,Нет,
Да,LX-L9-HOOD,Капот,Li Auto L9,Капот,hood,Хорошее,,,,В наличии,Перед,Передняя часть,,Да,,,Да,
Да,LX-L9-LMIRH,Левое зеркало High Config,Li Auto L9,Левое зеркало High Config,left-mirror-high,Хорошее,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L9-RMIRH,Правое зеркало High Config,Li Auto L9,Правое зеркало High Config,right-mirror-high,Хорошее,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L9-LMIRL,Левое зеркало Low Config,Li Auto L9,Левое зеркало Low Config,left-mirror-low,Хорошее,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L9-RMIRL,Правое зеркало Low Config,Li Auto L9,Правое зеркало Low Config,right-mirror-low,Хорошее,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L9-LLINER,Левый подкрылок,Li Auto L9,Левый подкрылок,left-fender-liner,Хорошее,,,,В наличии,Лево,Передняя левая,,Нет,,,Нет,
Да,LX-L9-RLINER,Правый подкрылок,Li Auto L9,Правый подкрылок,right-fender-liner,Хорошее,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L9-LFEND,Левое крыло,Li Auto L9,Левое крыло,left-fender,Хорошее,,,,В наличии,Лево,Передняя левая,,Да,,,Нет,
Да,LX-L9-RFEND,Правое крыло,Li Auto L9,Правое крыло,right-fender,Хорошее,,,,В наличии,Право,Передняя правая,,Да,,,Нет,
Да,LX-L9-LRBLIGHT,Левая подсветка бампера,Li Auto L9,Левая подсветка бампера,left-rear-bumper-light,Хорошее,,,,В наличии,Лево,Задняя левая,,Нет,,,Нет,
Да,LX-L9-RRBLIGHT,Правая подсветка бампера,Li Auto L9,Правая подсветка бампера,right-rear-bumper-light,Хорошее,,,,В наличии,Право,Задняя правая,,Нет,,,Нет,
Да,LX-L9-FTRIM,Передняя нижняя накладка,Li Auto L9,Передняя нижняя накладка,front-lower-trim,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L9-RTRIM,Задняя нижняя накладка,Li Auto L9,Задняя нижняя накладка,rear-lower-trim,Хорошее,,,,В наличии,Зад,Задняя часть,,Нет,,,Нет,
Да,LX-L9-HANDLE,Ручки дверей,Li Auto L9,Ручки дверей,door-handles,Хорошее,,,,В наличии,—,Кузов,,Нет,,,Нет,
Да,LX-L9-FBUMP,Передний бампер,Li Auto L9,Передний бампер,front-bumper,Хорошее,,,,В наличии,Перед,Передняя часть,,Да,,,Да,
Да,LX-L9-LHEAD,Левая передняя фара,Li Auto L9,Левая передняя фара,left-headlight,Хорошее,,,,В наличии,Лево,Передняя левая,,Нет,,,Да,
Да,LX-L9-RHEAD,Правая передняя фара,Li Auto L9,Правая передняя фара,right-headlight,Хорошее,,,,В наличии,Право,Передняя правая,,Нет,,,Нет,
Да,LX-L9-RAD,Радиатор охлаждения,Li Auto L9,Радиатор охлаждения,radiator,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L9-ACRAD,Радиатор кондиционера,Li Auto L9,Радиатор кондиционера,ac-radiator,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L9-FRAME,Рамка передней части (телевизор),Li Auto L9,Рамка передней части,front-frame,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L9-FAN,Вентилятор охлаждения,Li Auto L9,Вентилятор охлаждения,fan,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L9-REINF,Усилитель переднего бампера,Li Auto L9,Усилитель бампера,bumper-reinforcement,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L9-BRACK,Кронштейны и крепления,Li Auto L9,Кронштейны и крепления,brackets,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
Да,LX-L9-SHROUD,Диффузор вентилятора,Li Auto L9,Диффузор вентилятора,fan-shroud,Хорошее,,,,В наличии,Перед,Передняя часть,,Нет,,,Нет,
